date_month,quant_sell,customer_id
2014-08,1410,591284
2014-08,135,591465
2014-08,1050,591262
2014-08,1620,591326
2014-08,540,591271
2014-08,793,591396
2014-08,218,591337
2014-08,238,591487
2014-08,558,1159530
2014-08,1817,591403
2014-08,594,591355
2014-08,599,591456
2014-08,183,591458
2014-08,1427,591394
2014-08,2424,591390
2014-08,300,591504
2014-08,418,591330
2014-08,110,591339
2014-08,140,591286
2014-08,1525,591280
2014-08,1194,591401
2014-08,269,591462
2014-08,174,591469
2014-08,570,591359
2014-08,456,1065041
2014-08,1554,591405
2014-08,330,591324
2014-08,815,591533
2014-08,894,591436
2014-08,1184,591410
2014-08,50,591498
2014-08,390,591508
2014-08,2043,591429
2014-08,1432,591311
2014-08,223,591260
2014-08,885,591447
2014-08,580,591440
2014-08,1045,591418
2014-08,1253,591544
2014-08,395,591302
2014-08,1465,591416
2014-08,192,591449
2014-08,385,615246
2014-08,1665,591278
2014-08,265,591500
2014-08,513,615250
2014-08,1490,591293
2014-08,1805,591361
2014-08,4173,591445
2014-08,110,591502
2014-08,515,591352
2014-08,829,591423
2014-08,420,591304
2014-08,473,591443
2014-08,990,591275
2014-08,475,591295
2014-08,749,591341
2014-08,25,591478
2014-08,80,591273
2014-08,50,591473
2014-08,410,591308
2014-08,1707,591427
2014-08,115,591377
2014-08,2395,591264
2014-08,804,591421
2014-08,456,591506
2014-08,4718,591282
2014-08,440,591313
2014-08,80,591366
2014-08,581,591269
2014-08,1620,591454
2014-08,1493,591438
2014-08,490,591319
2014-08,1085,591300
2014-08,1401,591537
2014-08,25,591484
2014-08,205,615248
2014-08,1235,591412
2014-08,1536,591379
2014-08,1855,591434
2014-08,65,762465
2014-08,1215,591297
2014-08,2459,591425
2014-08,40,591476
2014-08,1400,591414
2014-08,699,591432
2014-08,58,591451
2014-08,1391,591535
2014-09,28,1065041
2014-09,165,591541
2014-09,850,591390
2014-09,783,591438
2014-09,25,591476
2014-09,205,591269
2014-09,2385,591280
2014-09,271,591504
2014-09,20,591377
2014-09,125,591443
2014-09,1526,591394
2014-09,130,591330
2014-09,978,591385
2014-09,1235,591425
2014-09,50,615246
2014-09,380,591304
2014-09,15,591508
2014-09,525,591535
2014-09,82,591271
2014-09,40,591333
2014-09,199,591388
2014-09,50,591440
2014-09,824,591429
2014-09,817,591297
2014-09,130,591337
2014-09,469,591537
2014-09,65,591465
2014-09,820,591434
2014-09,344,591506
2014-09,343,591335
2014-09,494,591302
2014-09,1339,591264
2014-09,155,591359
2014-09,718,591427
2014-09,342,591392
2014-09,2,615248
2014-09,365,591300
2014-09,9,591462
2014-09,524,591533
2014-09,49,591449
2014-09,645,591383
2014-09,868,591456
2014-09,56,591487
2014-09,1079,591293
2014-09,344,591403
2014-09,1080,591262
2014-09,160,591313
2014-09,125,591339
2014-09,647,591379
2014-09,279,591414
2014-09,407,591405
2014-09,281,591381
2014-09,74,591511
2014-09,81,591260
2014-09,402,591322
2014-09,423,591412
2014-09,4,591451
2014-09,263,591436
2014-09,276,591539
2014-09,910,591291
2014-09,460,591500
2014-09,90,591319
2014-09,385,591407
2014-09,560,591284
2014-09,589,591454
2014-09,241,591410
2014-09,250,591275
2014-09,213,591416
2014-09,374,591447
2014-09,35,762465
2014-09,447,591401
2014-09,1005,591278
2014-09,397,591341
2014-09,6,591495
2014-09,351,591423
2014-09,731,591289
2014-09,85,591295
2014-09,315,591396
2014-09,25,591273
2014-09,160,591460
2014-09,430,591361
2014-09,324,591418
2014-09,2,591308
2014-09,306,591399
2014-09,175,615250
2014-09,482,591311
2014-09,665,591326
2014-09,1954,591445
2014-09,240,591421
2014-09,2117,591282
2014-09,51,591267
2014-09,506,1159530
2014-09,326,591355
2014-09,63,591458
2014-09,546,591544
2014-10,40,591359
2014-10,220,591361
2014-10,360,591383
2014-10,170,591339
2014-10,110,591500
2014-10,26,591260
2014-10,393,591379
2014-10,310,1159530
2014-10,261,591381
2014-10,316,591535
2014-10,381,591341
2014-10,444,591416
2014-10,131,591423
2014-10,658,591385
2014-10,47,591273
2014-10,294,591421
2014-10,1670,591282
2014-10,1591,591445
2014-10,44,615250
2014-10,270,591311
2014-10,405,591418
2014-10,182,591544
2014-10,228,591447
2014-10,70,591313
2014-10,314,591414
2014-10,642,591293
2014-10,517,591412
2014-10,117,591319
2014-10,252,591269
2014-10,213,591410
2014-10,1,591482
2014-10,277,591295
2014-10,806,591438
2014-10,130,591502
2014-10,131,591436
2014-10,288,591300
2014-10,185,591297
2014-10,806,591434
2014-10,45,591432
2014-10,10,591473
2014-10,195,591302
2014-10,1114,591264
2014-10,73,591443
2014-10,332,591429
2014-10,410,591427
2014-10,301,591304
2014-10,25,591508
2014-10,765,591425
2014-10,279,591291
2014-10,395,591454
2014-10,159,591322
2014-10,288,591407
2014-10,55,591267
2014-10,704,591394
2014-10,241,591504
2014-10,2,591495
2014-10,42,591330
2014-10,223,591537
2014-10,199,591396
2014-10,20,591465
2014-10,1231,591280
2014-10,7,1065041
2014-10,164,591541
2014-10,968,591390
2014-10,75,591467
2014-10,64,591271
2014-10,608,591388
2014-10,618,591392
2014-10,240,591399
2014-10,280,591533
2014-10,891,591456
2014-10,50,591511
2014-10,290,591284
2014-10,607,591405
2014-10,40,591275
2014-10,123,591262
2014-10,225,591289
2014-10,503,591403
2014-10,173,591506
2014-10,39,591487
2014-10,225,591401
2014-10,20,591458
2014-10,106,591460
2014-10,105,591326
2014-11,90,591445
2014-11,6,591443
2014-11,40,591456
2014-11,125,591447
2014-11,20,591361
2014-11,8,591473
2014-11,45,591500
2014-11,100,591535
2014-11,64,591541
2014-11,95,591544
2014-11,135,591385
2014-11,5,591506
2014-11,164,591388
2014-11,8,1065041
2014-11,382,591390
2014-11,276,591392
2014-11,122,591383
2014-11,106,591533
2014-11,149,591394
2014-11,77,591399
2014-11,55,591381
2014-11,70,1159530
2014-11,107,591401
2014-11,55,591403
2014-11,133,591537
2014-11,184,591405
2014-11,75,591407
2014-11,11,591539
2014-11,172,591412
2014-11,79,591379
2014-11,152,591414
2014-11,115,591416
2014-11,31,615250
2014-11,128,591418
2014-11,53,591421
2014-11,145,591425
2014-11,113,591427
2014-11,67,591429
2014-11,34,591476
2014-11,103,591434
2014-11,96,591436
2014-11,354,591438
2014-11,127,591423
2014-11,31,591410
2014-11,10,591322
2014-11,19,591262
2014-11,50,591289
2014-11,28,591293
2014-11,12,591271
2014-11,1,591280
2014-11,3,591304
2014-11,90,591355
2014-11,69,591269
2014-11,64,591297
2014-11,40,591284
2014-11,96,591341
2014-11,10,591311
2014-11,70,591326
2014-11,144,591264
2014-11,65,591291
2014-11,488,591282
2014-11,5,591302
2014-12,58,591399
2014-12,61,591438
2014-12,5,591289
2014-12,763,591392
2014-12,11,591443
2014-12,339,591423
2014-12,75,591535
2014-12,182,591418
2014-12,11,615250
2014-12,5,591410
2014-12,52,591421
2014-12,77,591504
2014-12,105,591385
2014-12,53,591412
2014-12,5,591264
2014-12,108,591390
2014-12,25,591414
2014-12,9,591460
2014-12,9,591407
2014-12,79,591416
2014-12,95,591383
2014-12,15,591282
2014-12,75,591541
2014-12,45,591401
2014-12,10,591381
2014-12,164,591539
2014-12,659,591544
2014-12,310,591388
2014-12,40,591403
2014-12,35,591284
2014-12,30,591500
2014-12,160,591394
2014-12,33,591427
2014-12,124,591436
2014-12,2,591330
2014-12,21,591537
2014-12,183,591425
2014-12,52,591405
2014-12,10,591293
2015-01,26,591421
2015-01,30,591432
2015-01,70,591282
2015-01,18,615250
2015-01,97,591383
2015-01,131,591425
2015-01,21,591381
2015-01,18,591427
2015-01,27,1786338
2015-01,50,591504
2015-01,233,591438
2015-01,99,591385
2015-01,174,591297
2015-01,48,591423
2015-01,84,591436
2015-01,30,591284
2015-01,99,591418
2015-01,226,591388
2015-01,120,591399
2015-01,35,1159530
2015-01,235,591392
2015-01,55,591535
2015-01,70,591410
2015-01,5,591293
2015-01,77,591412
2015-01,1465,591289
2015-01,40,591403
2015-01,40,591458
2015-01,223,591390
2015-01,70,591539
2015-01,49,591544
2015-01,85,591541
2015-01,86,591407
2015-01,40,591414
2015-01,28,591456
2015-01,45,591405
2015-01,255,591394
2015-01,47,591416
2015-01,93,591401
2015-02,192,591304
2015-02,355,591394
2015-02,70,591269
2015-02,89,591403
2015-02,15,591381
2015-02,211,591427
2015-02,88,591539
2015-02,155,591401
2015-02,56,591339
2015-02,336,591429
2015-02,148,591487
2015-02,144,591541
2015-02,39,591399
2015-02,59,591302
